JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Joburl
"Data Scientist, AI@Unity",Unity Technologies,"Vancouver, BC",1 day ago,2020-10-15,"Experience working with petabytes of data.
Experience working on data projects from problem identification to production.",,https://ca.indeed.com//rc/clk?jk=7b2b2221435812ac&fccid=880e4714f2ad94a8&vjs=3
Data Scientist I,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",30+ days ago,2020-10-15,"Master or PhD in Computer Science, Machine Learning, Statistics or a related quantitative field.
2+ years of hands-on experience in applied machine learning,…","$79,500 - $132,800 a year",https://ca.indeed.com//rc/clk?jk=0482807268e83984&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,FORM,"Vancouver, BC",29 days ago,2020-10-15,"This includes conducting field trials to gather data, and organizing, analyzing, and drawing meaningful conclusions from collected data.",,https://ca.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BFra9SaKlkDuvQKsyprre9PAZffN_jrc31lsXXcWnPpcSuDlwABIZtQM778_ABA8Jhh9RaaE8CNLcpLNi4mN4R0_TBQbpIJUFHe9tm1jjZL3dz0Yupm3WMsCqdN8H6BIMhYdOpQObrBZcpgwxCSjC0tqnWU1dgjMrbRVim6ox82WwqEEiWAJNJcRXvnalIGFJGBs6lMZrsYeefX2sGdzGbN-ihNQvQ8H_WGgAZk4rv8RibGTUqBizUR0OBz0DDwrVkiu0i4Jw6YvVxaoXCNEoLdtIwWNiunxn8BTvlVMOx8aO7ecY8sE_Uo085FhvwQVsr3qUxFMbo5ySUePthlwwm_J9bm-yMFpaG50UhPVBDC-GP5NPqDdSumCMI6cpBHTSBxcNRk_mdIs1CVs6saxgUwn_X3I1ocaUe-6JBWv2gBQugJY5AchWriN70r2cx7T5UjXjQNHHNUw==&p=2&fvj=1&vjs=3
Data Scientist,AbCellera Biologics,"Vancouver, BC",30+ days ago,2020-10-15,"Leading initiatives to standardize data output and data analysis.
Experience working with and creating data architectures.
A minimum of 3 weeks’ vacation.",,https://ca.indeed.com//rc/clk?jk=0b6b976168d6540a&fccid=6161745df4a18957&vjs=3
Data Scientist,Lightspark,"Vancouver, BC",30+ days ago,2020-10-15,"Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity…",,https://ca.indeed.com//rc/clk?jk=1d9e179320a6422a&fccid=06926f09c00964a3&vjs=3
"Data Analyst Health Surveillance, Information Management Surveillance - BC Centre for Disease Control",PHSA,"Vancouver, BC",15 days ago,2020-10-15,"Write data management and analysis programs using data programming tools such as SAS or R.
Manage and query data in large relational or multidimensional…",$35.70 - $37.74 an hour,https://ca.indeed.com//rc/clk?jk=dd5a5e283f80a64e&fccid=f66f721a44de3765&vjs=3
Machine Learning / Computer Vision Engineer,XGen,"Vancouver, BC",2 days ago,2020-10-15,"Experience building pipelines for large-scale data processing.
XGen offers employees a flexible working schedule so long as they meet forty hours of weekly…","$100,000 - $150,000 a year",https://ca.indeed.com//company/XGen/jobs/Machine-Learning-7534d45029f00b8e?fccid=ece1b0f8d0e3a74c&vjs=3
Research Assistant (Data Science),Praxis Institute,"Vancouver, BC",22 days ago,2020-10-15,"Conduct data reviews, data quality assessments, and data analyses using databases, spreadsheets, and statistical software such as SPSS and R;",,https://ca.indeed.com//rc/clk?jk=8e0d9b7decbf2aeb&fccid=0b5e6e47bef90913&vjs=3
Applied Research Scientist,"Grammarly, Inc.","Vancouver, BC",3 days ago,2020-10-15,"Ruthlessly follows the data, looking for evidence to disconfirm hypotheses and changing perspectives when that's what the data indicates.",,https://ca.indeed.com//rc/clk?jk=ce95105e4549f87a&fccid=0555014e7bce64c3&vjs=3
Machine Learning Engineer / AI Engineer,XGen,"Vancouver, BC",3 days ago,2020-10-15,"Provide exploratory analysis and data transformation on historical customer data.
Experience building pipelines for large scale data processing.","$100,000 - $150,000 a year",https://ca.indeed.com//company/XGen/jobs/Machine-Learning-Engineer-f4488a545c30a624?fccid=ece1b0f8d0e3a74c&vjs=3
Senior Data Scientist,Tasktop,"Vancouver, BC",30+ days ago,2020-10-15,"You have production experience applying statistical, and ML models to extract insights from time series and structure data.
Temporarily due to COVID-19.","$89,288 - $194,870 a year",https://ca.indeed.com//company/Tasktop-Technologies/jobs/Senior-Data-Scientist-1a352205f3e25cd8?fccid=22a7a21bb22c55e7&vjs=3
Data Analyst,LOB,"Vancouver, BC",30+ days ago,2020-10-15,"Design and curate data model and data dictionary for the entire company.
3+ years of experience with data manipulation and analysis tools such as SQL, Python, R…",,https://ca.indeed.com//rc/clk?jk=b1becc8beef6a591&fccid=f12a1c406f88c39d&vjs=3
